bn = 278,  loss : 1.11752, acc: 0.7
bn = 279,  loss : 1.206, acc: 0.566667
bn = 280,  loss : 2.30103, acc: 0.566667
bn = 281,  loss : 2.71068, acc: 0.533333
bn = 282,  loss : 1.67509, acc: 0.433333
bn = 283,  loss : 1.53701, acc: 0.666667
bn = 284,  loss : 2.25348, acc: 0.633333
bn = 285,  loss : 2.06917, acc: 0.666667
bn = 286,  loss : 2.10902, acc: 0.533333
bn = 287,  loss : 2.4284, acc: 0.4
bn = 288,  loss : 1.94768, acc: 0.566667
bn = 289,  loss : 2.35361, acc: 0.466667
bn = 290,  loss : 2.19223, acc: 0.4
bn = 291,  loss : 2.57953, acc: 0.466667
bn = 292,  loss : 3.0635, acc: 0.433333
bn = 293,  loss : 1.72148, acc: 0.566667
bn = 294,  loss : 3.13354, acc: 0.4
bn = 295,  loss : 2.08258, acc: 0.5
bn = 296,  loss : 2.37398, acc: 0.533333
bn = 297,  loss : 2.1543, acc: 0.633333
bn = 298,  loss : 0.9301, acc: 0.666667
bn = 299,  loss : 1.66949, acc: 0.566667
bn = 300,  loss : 1.77191, acc: 0.533333
bn = 301,  loss : 1.7687, acc: 0.6
bn = 302,  loss : 2.53993, acc: 0.533333
bn = 303,  loss : 2.31735, acc: 0.666667
bn = 304,  loss : 1.81871, acc: 0.533333
bn = 305,  loss : 1.34524, acc: 0.766667
bn = 306,  loss : 1.48394, acc: 0.533333
bn = 307,  loss : 1.87658, acc: 0.633333
bn = 308,  loss : 1.32694, acc: 0.666667
bn = 309,  loss : 1.33726, acc: 0.733333
bn = 310,  loss : 1.77601, acc: 0.466667
bn = 311,  loss : 0.912523, acc: 0.7
bn = 312,  loss : 2.47993, acc: 0.5
bn = 313,  loss : 1.84864, acc: 0.633333
bn = 314,  loss : 2.5262, acc: 0.5
bn = 315,  loss : 3.03046, acc: 0.5
bn = 316,  loss : 2.10325, acc: 0.566667
bn = 317,  loss : 1.9964, acc: 0.6
bn = 318,  loss : 2.44621, acc: 0.533333
bn = 319,  loss : 2.24975, acc: 0.533333
bn = 320,  loss : 2.22593, acc: 0.566667
bn = 321,  loss : 1.92612, acc: 0.633333
bn = 322,  loss : 1.78624, acc: 0.7
bn = 323,  loss : 2.03185, acc: 0.7
bn = 324,  loss : 1.38543, acc: 0.6
bn = 325,  loss : 1.74044, acc: 0.733333
bn = 326,  loss : 1.60284, acc: 0.533333
bn = 327,  loss : 1.63115, acc: 0.666667
bn = 328,  loss : 1.81598, acc: 0.733333
bn = 329,  loss : 1.50193, acc: 0.733333
bn = 330,  loss : 0.957317, acc: 0.766667
bn = 331,  loss : 1.83868, acc: 0.566667
bn = 332,  loss : 1.43276, acc: 0.7
bn = 333,  loss : 1.30081, acc: 0.7
bn = 334,  loss : 1.7727, acc: 0.566667
bn = 335,  loss : 1.74201, acc: 0.666667
bn = 336,  loss : 1.50102, acc: 0.666667
bn = 337,  loss : 1.36602, acc: 0.766667
bn = 338,  loss : 1.18477, acc: 0.7
bn = 339,  loss : 1.24231, acc: 0.666667
bn = 340,  loss : 2.27503, acc: 0.6
bn = 341,  loss : 2.35506, acc: 0.5
bn = 342,  loss : 2.74819, acc: 0.5
bn = 343,  loss : 1.35961, acc: 0.633333
bn = 344,  loss : 1.13317, acc: 0.8
bn = 345,  loss : 1.10142, acc: 0.666667
bn = 346,  loss : 1.16821, acc: 0.733333
bn = 347,  loss : 2.08117, acc: 0.7
bn = 348,  loss : 0.789746, acc: 0.666667
bn = 349,  loss : 1.09332, acc: 0.733333
bn = 350,  loss : 0.979409, acc: 0.733333
bn = 351,  loss : 1.03293, acc: 0.666667
bn = 352,  loss : 1.82661, acc: 0.633333
bn = 353,  loss : 0.898645, acc: 0.7
bn = 354,  loss : 0.911769, acc: 0.766667
bn = 355,  loss : 2.20355, acc: 0.466667
bn = 356,  loss : 1.07875, acc: 0.766667
bn = 357,  loss : 2.88353, acc: 0.633333
bn = 358,  loss : 2.29924, acc: 0.566667
bn = 359,  loss : 1.94638, acc: 0.633333
bn = 360,  loss : 1.738, acc: 0.666667
bn = 361,  loss : 1.29224, acc: 0.733333
bn = 362,  loss : 1.68311, acc: 0.633333
bn = 363,  loss : 0.72469, acc: 0.766667
bn = 364,  loss : 1.38785, acc: 0.566667
bn = 365,  loss : 1.09444, acc: 0.633333
bn = 366,  loss : 2.10485, acc: 0.6
bn = 367,  loss : 1.60598, acc: 0.733333
bn = 368,  loss : 1.96551, acc: 0.666667
bn = 369,  loss : 1.88903, acc: 0.666667
bn = 370,  loss : 2.2476, acc: 0.5
bn = 371,  loss : 0.986857, acc: 0.733333
bn = 372,  loss : 1.96224, acc: 0.6
bn = 373,  loss : 3.58874, acc: 0.466667
bn = 374,  loss : 1.67072, acc: 0.666667
bn = 375,  loss : 1.14114, acc: 0.766667
bn = 376,  loss : 1.57272, acc: 0.566667
bn = 377,  loss : 1.03324, acc: 0.733333
bn = 378,  loss : 1.14804, acc: 0.7
bn = 379,  loss : 1.74253, acc: 0.633333
bn = 380,  loss : 1.04881, acc: 0.766667
bn = 381,  loss : 1.07703, acc: 0.7
bn = 382,  loss : 2.02305, acc: 0.466667
bn = 383,  loss : 1.3272, acc: 0.766667
bn = 384,  loss : 1.1875, acc: 0.633333
bn = 385,  loss : 1.64712, acc: 0.666667
bn = 386,  loss : 1.80048, acc: 0.566667
bn = 387,  loss : 2.35655, acc: 0.566667
bn = 388,  loss : 1.83207, acc: 0.533333
bn = 389,  loss : 1.02735, acc: 0.733333
bn = 390,  loss : 1.66482, acc: 0.633333
bn = 391,  loss : 1.70459, acc: 0.566667
bn = 392,  loss : 2.60724, acc: 0.6
bn = 393,  loss : 1.06159, acc: 0.7
bn = 394,  loss : 1.23811, acc: 0.7
bn = 395,  loss : 1.7332, acc: 0.6
bn = 396,  loss : 1.83752, acc: 0.633333
bn = 397,  loss : 1.98203, acc: 0.633333
bn = 398,  loss : 1.83352, acc: 0.6
bn = 399,  loss : 1.28953, acc: 0.766667
bn = 400,  loss : 0.976929, acc: 0.7
bn = 401,  loss : 0.679281, acc: 0.766667
bn = 402,  loss : 1.98374, acc: 0.533333
bn = 403,  loss : 1.66218, acc: 0.6
bn = 404,  loss : 0.479775, acc: 0.833333
bn = 405,  loss : 0.608535, acc: 0.833333
bn = 406,  loss : 2.09821, acc: 0.533333
bn = 407,  loss : 1.51396, acc: 0.7
bn = 408,  loss : 2.59919, acc: 0.566667
bn = 409,  loss : 1.74594, acc: 0.566667
bn = 410,  loss : 0.829379, acc: 0.766667
bn = 411,  loss : 2.11012, acc: 0.566667
bn = 412,  loss : 1.56943, acc: 0.6
bn = 413,  loss : 1.37229, acc: 0.766667
bn = 414,  loss : 2.71879, acc: 0.533333
bn = 415,  loss : 1.50203, acc: 0.7
bn = 416,  loss : 2.43223, acc: 0.566667
bn = 417,  loss : 1.51904, acc: 0.7
bn = 418,  loss : 2.10662, acc: 0.533333
bn = 419,  loss : 0.887127, acc: 0.666667
bn = 420,  loss : 1.97599, acc: 0.566667
bn = 421,  loss : 2.59584, acc: 0.5
bn = 422,  loss : 1.45901, acc: 0.6
bn = 423,  loss : 1.33988, acc: 0.633333
bn = 424,  loss : 1.02279, acc: 0.766667
